Row,Col,RowSpan,ColSpan,Color
0,7,1,1,yellow
0,21,1,1,yellow
1,0,1,1,yellow
1,1,1,1,yellow
1,3,1,1,yellow
1,12,1,1,yellow
1,21,1,1,yellow
2,4,1,1,yellow
2,6,1,1,yellow
2,7,1,1,yellow
3,4,1,1,yellow
3,6,1,1,yellow
3,12,1,1,yellow
3,21,1,1,yellow
4,3,1,1,yellow
4,7,1,1,yellow
4,12,1,1,yellow
4,21,1,1,yellow
5,0,1,1,yellow
5,2,1,4,yellow
3,7,1,1,yellow
5,7,1,1,yellow
5,9,1,2,yellow
5,13,1,2,yellow
5,16,1,2,yellow
5,19,1,2,yellow
5,22,1,1,yellow
5,24,1,3,yellow
5,28,1,3,yellow
6,7,1,1,yellow
6,12,1,1,yellow
6,21,1,1,yellow
6,24,1,1,yellow
6,27,1,1,yellow
7,3,1,1,yellow
7,12,1,1,yellow
7,21,1,1,yellow
7,24,1,1,yellow
7,28,5,1,yellow
7,31,5,1,yellow
8,12,1,1,yellow
8,21,1,1,yellow
8,24,1,1,yellow
8,27,1,1,yellow
9,0,1,3,yellow
9,4,1,3,yellow
9,9,1,4,yellow
9,13,1,1,yellow
9,15,1,1,yellow
9,17,1,2,yellow
9,20,1,1,yellow
9,22,1,2,yellow
10,3,2,1,yellow
10,7,1,1,yellow
10,12,4,1,yellow
10,21,3,1,yellow
10,24,1,1,yellow
11,9,2,2,yellow
11,27,1,1,yellow
12,7,2,1,yellow
12,24,1,1,yellow
13,3,1,1,yellow
13,27,1,1,yellow
14,1,1,2,yellow
14,4,1,1,yellow
14,6,1,1,yellow
14,8,1,1,yellow
14,9,1,4,yellow
14,13,1,1,yellow
14,15,3,2,yellow
14,19,4,2,yellow
14,21,1,1,yellow
14,25,1,2,yellow
14,28,1,2,yellow
14,31,1,1,yellow
15,3,2,1,yellow
15,7,2,1,yellow
15,12,2,1,yellow
15,24,2,1,yellow
15,27,2,1,yellow
16,21,1,1,yellow
17,0,1,1,yellow
17,2,1,1,yellow
17,4,1,3,yellow
17,8,1,1,yellow
17,9,1,2,yellow
17,11,1,1,yellow
17,13,1,3,yellow
17,17,1,1,yellow
17,22,1,2,yellow
17,26,1,1,yellow
17,28,1,1,yellow
17,30,1,2,yellow
18,7,1,1,yellow
18,12,1,1,yellow
18,18,2,1,yellow
19,3,3,1,yellow
19,14,1,1,yellow
20,7,2,1,yellow
20,12,2,1,yellow
20,24,2,1,yellow
21,14,1,1,yellow
21,18,1,1,yellow
22,1,1,2,yellow
22,4,1,1,yellow
22,6,1,1,yellow
22,8,1,6,yellow
22,15,1,3,yellow
22,20,2,4,yellow
22,26,1,2,yellow
22,29,1,1,yellow
23,7,2,1,yellow
23,14,3,1,yellow
23,18,3,1,yellow
23,25,3,1,yellow
24,3,2,1,yellow
24,7,1,1,yellow
24,12,1,1,yellow
26,0,1,3,yellow
26,4,1,3,yellow
26,8,1,4,yellow
26,13,1,1,yellow
26,15,1,3,yellow
26,19,1,4,yellow
26,24,1,1,yellow
26,26,1,1,yellow
26,28,1,2,yellow
26,31,1,1,yellow
27,3,1,1,yellow
27,7,2,1,yellow
27,14,2,1,yellow
27,18,1,1,yellow
27,25,2,1,yellow
29,1,1,6,yellow
29,8,1,2,yellow
29,11,1,2,yellow
29,18,1,1,yellow
30,3,1,1,yellow
30,12,2,1,yellow
30,14,2,1,yellow
30,25,1,1,yellow
31,7,1,1,yellow
31,18,1,1,yellow
1,3,1,1,yellow
18,25,1,1,yellow
20,25,2,1,yellow
0,3,1,1,blue1
